"Zeitstempel","Date of Birth","Highest education achieved yet","Gender","Of which of the below do you have an account","Of which of the below have you ever deleted an account","How difficult do you think the deleting of a Stack exchange account will be?","How difficult do you think the deleting of a Facebook account will be?","How difficult do you think the deleting of an Amazon account will be?","How difficult do you think the deleting of a Twitter account will be?"
"2018/05/17 2:40:46 nachm. OEZ","1998-02-01","Secondary School","Male","Stack Exchange;Amazon","Facebook","3","6","7","6"
"2018/05/17 2:41:38 nachm. OEZ","1994-09-14","Secondary School","Male","Stack Exchange;Amazon;Facebook","","2","4","4","3"
"2018/05/17 2:59:58 nachm. OEZ","1996-02-13","Secondary School","Male","Stack Exchange;Amazon","Facebook","1","3","7","4"
"2018/05/18 1:40:30 nachm. OEZ","1996-05-30","Secondary School","Female","Facebook;Twitter","","3","2","3","3"
"2018/05/18 1:45:48 nachm. OEZ","1996-05-13","Secondary School","Male","","Facebook","4","5","5","3"
"2018/05/18 1:51:32 nachm. OEZ","1994-08-09","Secondary School","Male","Stack Exchange;Amazon;Facebook;Twitter","","1","6","2","4"
"2018/05/18 2:10:07 nachm. OEZ","1992-11-13","Secondary School","Male","Facebook","","4","3","4","3"
